simplename	broad_host	collection_date	isolation_source	location	host	strain	SRR	SRA	Sample name	BioSample	name1	name2
GCA_000974125.1	avian	2006-06-27	fecal material		Gallus gallus domesticus	ABBSB1116-2			Salmonella enterica subsp. enterica serovar Typhimurium isolate ABBSB1116-2	SAMN03293341	GCA_000974125.1|avian|2006-06-27	
GCA_000973985.1	avian	2006-07-26	fecal material		Gallus gallus domesticus	ABBSB1189-1			Salmonella enterica subsp. enterica serovar Typhimurium isolate ABBSB1189-1	SAMN03293345	GCA_000973985.1|avian|2006-07-26	
GCA_000973815.1	avian	2006-08-02	fecal material		Gallus gallus domesticus	ABBSB1205-1			Salmonella enterica subsp. enterica serovar 4,[5],12:i: isolate ABBSB1205-1	SAMN03293335	GCA_000973815.1|avian|2006-08-02	
GCA_000974005.1	avian	2006-08-10	fecal material		Gallus gallus domesticus	ABBSB1218-1			Salmonella enterica subsp. enterica serovar 4,[5],12:i: isolate ABBSB1218-1	SAMN03293338	GCA_000974005.1|avian|2006-08-10	
GCA_001887015.1	avian	2007			cormorant	22792			OLF-FSR1_2007_ST_22792-1	SAMN05832872	GCA_001887015.1|avian|2007	
GCA_001886995.1	avian	2007			gull	22495			OLF-FSR1_2007_ST_22495-1	SAMN05832834	GCA_001886995.1|avian|2007	
GCA_002009155.1	avian	2009-03-08	White-crowned sparrow			RM10607			RM10607	SAMN04125827	GCA_002009155.1|avian|2009-03-08	
GCA_001981435.1	avian	2010-04	Chicken meat			SAL58370			SAL58370	SAMN06246911	GCA_001981435.1|avian|2010-04	
GCA_001614025.1	avian	2012	boot swabs from broiler farm			2012CEB2427SAL			2012CEB2427SAL	SAMN04110139	GCA_001614025.1|avian|2012	
GCA_001466375.1	avian	2012	boot swabs from chicken facility			2013LSAL04524			2013LSAL04524	SAMN04110140	GCA_001466375.1|avian|2012	
GCA_002018355.1	avian	2012-04-18	carcass swab		Gallus gallus	PPRJ_27			PPRJ_27	SAMN06345841	GCA_002018355.1|avian|2012-04-18	
GCA_002260565.1	avian	2015	slaughterhouse		poultry	STy013			STy013	SAMN07283712	GCA_002260565.1|avian|2015	
GCA_002260985.1	avian	2015	slaughterhouse		poultry	STy06			STy06	SAMN07279711	GCA_002260985.1|avian|2015	
GCA_002261025.1	avian	2015	slaughterhouse		poultry	STy014			STy014	SAMN07279397	GCA_002261025.1|avian|2015	
GCA_002634225.1	bovine	1999	missing		cattle	SE373			SE373	SAMN07781963	GCA_002634225.1|bovine|1999	
GCA_002634305.1	bovine	1999	missing		cattle	SE368			SE368	SAMN07781832	GCA_002634305.1|bovine|1999	
GCA_002723705.1	bovine	1999	missing		cattle	SE492			SE492	SAMN07782027	GCA_002723705.1|bovine|1999	
GCA_002723785.1	bovine	1999	missing		cattle	SE494			SE494	SAMN07782028	GCA_002723785.1|bovine|1999	
GCA_000505085.1	bovine	2000-05-09	feces, dairy cow		Bos taurus	CFSAN001284			CFSAN001284	SAMN01813959	GCA_000505085.1|bovine|2000-05-09	
GCA_001623705.1	bovine	2003-06	bovine pre-evisceration carcass		Bos taurus	USDA-ARS-USMARC-1880			USDA-ARS-USMARC-1880	SAMN02716867	GCA_001623705.1|bovine|2003-06	
GCA_001623725.1	bovine	2005-07	bovine post-intervention carcass		Bovine	USDA-ARS-USMARC-1808			USDA-ARS-USMARC-1808	SAMN02716861	GCA_001623725.1|bovine|2005-07	
GCA_001623745.2	bovine	2005-10	bovine pre-evisceration carcass		Bos taurus	USDA-ARS-USMARC-1810			USDA-ARS-USMARC-1810	SAMN02716863	GCA_001623745.2|bovine|2005-10	
GCA_001623765.2	bovine	2007-02	ground beef		Bovine	USDA-ARS-USMARC-1898			USDA-ARS-USMARC-1898	SAMN02716871	GCA_001623765.2|bovine|2007-02	
GCA_001955195.1	bovine	2008	stool/fecal sample		bovine	R8_0865_R1		SRS1245571	BOV_TYPH_NY_08_R8_0865_R1	SAMN04394826	GCA_001955195.1|bovine|2008	
GCA_001955345.1	bovine	2008	stool/fecal sample		bovine	R9_3243_R1		SRS1245487	BOV_TYPH_WA_08_R9_3243_R1	SAMN04394761	GCA_001955345.1|bovine|2008	
GCA_001587055.1	bovine	2008-08-15	Lab Strain		Bovine	SL1344RX			SL1344RX	SAMN03448627	GCA_001587055.1|bovine|2008-08-15	
GCA_001617585.1	bovine	2009	ground beef		Bos taurus	RM9437			RM9437	SAMN04038553	GCA_001617585.1|bovine|2009	
GCA_001955385.1	bovine	2009	stool/fecal sample		bovine	R9_3246_R1		SRS1245593	BOV_TYPH_WA_09_R9_3246_R1	SAMN04394844	GCA_001955385.1|bovine|2009	
GCA_001955225.1	bovine	2011	stool/fecal sample		bovine	R8_8387_R1		SRS1245456	BOV_TYPH_NY_11_R8_8387_R1	SAMN04394881	GCA_001955225.1|bovine|2011	
GCA_001955235.1	bovine	2011	stool/fecal sample		bovine	R8_8274_R1		SRS1245513	BOV_TYPH_NY_11_R8_8274_R1	SAMN04394916	GCA_001955235.1|bovine|2011	
GCA_001955265.1	bovine	2011	stool/fecal sample		bovine	R8_9118_R1		SRS1245522	BOV_TYPH_NY_11_R8_9118_R1	SAMN04394768	GCA_001955265.1|bovine|2011	
GCA_001955465.1	bovine	2011	stool/fecal sample		bovine	R9_3251_R1		SRS1245536	BOV_TYPH_WA_11_R9_3251_R1	SAMN04394776	GCA_001955465.1|bovine|2011	
GCA_001623845.1	bovine	2011-03	bovine adipose trim		Bovine	USDA-ARS-USMARC-1896			USDA-ARS-USMARC-1896	SAMN02716869	GCA_001623845.1|bovine|2011-03	
GCA_001955295.1	bovine	2012	stool/fecal sample		bovine	R8_9801_R1		SRS1245423	BOV_TYPH_NY_12_R8_9801_R1	SAMN04394863	GCA_001955295.1|bovine|2012	
GCA_001955475.1	bovine	2012	stool/fecal sample		bovine	R9_3252_R1		SRS1245531	BOV_TYPH_WA_12_R9_3252_R1	SAMN04394781	GCA_001955475.1|bovine|2012	
GCA_001714645.1	human	1983	feces		Homo sapiens	CFSAN033855		SRS1332710	CFSAN033855	SAMN03941087	GCA_001714645.1|human|1983	
GCA_001295545.1	human	1993	Blood		Homo sapiens	ST8493			ST8493	SAMN03121905	GCA_001295545.1|human|1993	
GCA_001295555.1	human	1994	Blood		Homo sapiens	ST6988			ST6988	SAMN03121902	GCA_001295555.1|human|1994	
GCA_001295405.1	human	1995	Blood		Homo sapiens	ST111849			ST111849	SAMN03121894	GCA_001295405.1|human|1995	
GCA_001295745.1	human	1995	Stool		Homo sapiens	ST2287			ST2287	SAMN03121816	GCA_001295745.1|human|1995	
GCA_001295525.1	human	1996	Stool		Homo sapiens	ST3858			ST3858	SAMN03121891	GCA_001295525.1|human|1996	
GCA_001295725.1	human	1996	Stool		Homo sapiens	ST3363			ST3363	SAMN03121893	GCA_001295725.1|human|1996	
GCA_001623825.2	human	1997-08	missing		Human	USDA-ARS-USMARC-1878			USDA-ARS-USMARC-1878	SAMN02716865	GCA_001623825.2|human|1997-08	
GCA_001576255.1	human	2000	stool		Homo sapiens	YU15			YU15	SAMN03795199	GCA_001576255.1|human|2000	
GCA_001577505.1	human	2002	Cerebrospinal fluid		Homo sapiens	SO3			SO3	SAMN04296382	GCA_001577505.1|human|2002	
GCA_001295705.1	human	2002	Stool		Homo sapiens	ST4038			ST4038	SAMN03121906	GCA_001295705.1|human|2002	
GCA_001576275.1	human	2002	stool		Homo sapiens	SO2			SO2	SAMN03798428	GCA_001576275.1|human|2002	
GCA_000027025.1	human	2004	blood		Homo sapiens	D23580		ERS380174		SAMEA2272777	GCA_000027025.1|human|2004	
GCA_001295415.1	human	2005	Blood		Homo sapiens	ST2850			ST2850 	SAMN03121896	GCA_001295415.1|human|2005	
GCA_000648415.2	human	2005	Host Tissue		Homo sapiens	95799			 Salmonella enterica subsp. enterica serovar Typhimurium str. 95799	SAMN02692152	GCA_000648415.2|human|2005	
GCA_000648435.2	human	2005	Host Tissue		Homo sapiens	98346			 Salmonella enterica subsp. enterica serovar Typhimurium str. 98346	SAMN02692250	GCA_000648435.2|human|2005	
GCA_001295665.1	human	2005	Stool		Homo sapiens	ST2143			ST2143	SAMN03121892	GCA_001295665.1|human|2005	
GCA_001295675.1	human	2005	Stool		Homo sapiens	ST4329			ST4329	SAMN03121895	GCA_001295675.1|human|2005	
GCA_000468255.1	human	2006	Blood		Homo sapiens	ST4848			ST4848	SAMN02296697	GCA_000468255.1|human|2006	
GCA_000648475.2	human	2006	Host Tissue		Homo sapiens	104772			 Salmonella enterica subsp. enterica serovar Typhimurium str. 104772	SAMN02692253	GCA_000648475.2|human|2006	
GCA_000465195.1	human	2006	stool		Homo sapiens	ST1489			AUVD	SAMN02415266	GCA_000465195.1|human|2006	
GCA_001295465.1	human	2006	Stool		Homo sapiens	ST2286			ST2286	SAMN03121899	GCA_001295465.1|human|2006	
GCA_001295485.1	human	2006	Stool		Homo sapiens	ST486			ST486	SAMN03121903	GCA_001295485.1|human|2006	
GCA_001295495.1	human	2006	Stool		Homo sapiens	ST1489			ST1489	SAMN03121904	GCA_001295495.1|human|2006	
GCA_001295585.1	human	2006	Stool		Homo sapiens	ST372			ST372	SAMN03121898	GCA_001295585.1|human|2006	
GCA_001295595.1	human	2006	Stool		Homo sapiens	ST1660			ST1660	SAMN03121897	GCA_001295595.1|human|2006	
GCA_001295625.1	human	2006	Stool		Homo sapiens	ST2533			ST2533	SAMN03121901	GCA_001295625.1|human|2006	
GCA_001295635.1	human	2006	Stool		Homo sapiens	ST4650			ST4650	SAMN03121900	GCA_001295635.1|human|2006	
GCA_000292755.1	human	2006	stool specimen of a diarrheic patient admitted to a hospital in Hong Kong		Homo sapiens	ST1660/06			AJTU	SAMN02415265	GCA_000292755.1|human|2006	
GCA_001623645.1	human	2006-06	stool		Human	USDA-ARS-USMARC-1908			USDA-ARS-USMARC-1908	SAMN02716879	GCA_001623645.1|human|2006-06	
GCA_001295385.1	human	2007	Blood		Homo sapiens	ST4024			ST4024	SAMN03120582	GCA_001295385.1|human|2007	
GCA_001295425.1	human	2007	Blood		Homo sapiens	ST728		SRS723757	ST728	SAMN03120578	GCA_001295425.1|human|2007	
GCA_000648495.2	human	2007	Host Tissue		Homo sapiens	108402			 Salmonella enterica subsp. enterica serovar Typhimurium str. 108402	SAMN02692254	GCA_000648495.2|human|2007	
GCA_000444835.2	human	2008	fecal sample		Homo sapiens	STm7		SRS454533	STm7	SAMN02217010	GCA_000444835.2|human|2008	
GCA_000648455.2	human	2008	Host Tissue		Homo sapiens	116045			 Salmonella enterica subsp. enterica serovar Typhimurium str. 116045	SAMN02692255	GCA_000648455.2|human|2008	
GCA_002090955.1	human	2008	stool		Homo sapiens	R8_0764_R1		SRS1245421	HUM_TYPH_NY_08_R8_0764_R1	SAMN04394747	GCA_002090955.1|human|2008	
GCA_002091075.1	human	2008	stool		Homo sapiens	R9_3270_R1		SRS1245484	HUM_TYPH_WA_08_R9_3270_R1	SAMN04394898	GCA_002091075.1|human|2008	
GCA_002091285.1	human	2008	stool		Homo sapiens	R9_3269_R1		SRS1245528	HUM_TYPH_WA_08_R9_3269_R1	SAMN04394784	GCA_002091285.1|human|2008	
GCA_000336155.1	human	2009	clinical		Homo sapiens	CDC_2009K1153			CDC_2009K1153	SAMN02568551	GCA_000336155.1|human|2009	
GCA_001623805.1	human	2009	missing		Human	USDA-ARS-USMARC-1906			USDA-ARS-USMARC-1906	SAMN02716877	GCA_001623805.1|human|2009	
GCA_002091335.1	human	2009	stool		Homo sapiens	R9_3271_R1		SRS1245556	HUM_TYPH_WA_09_R9_3271_R1	SAMN04394799	GCA_002091335.1|human|2009	
GCA_001623775.1	human	2009-10	stool		Homo sapiens	CDC 2009K-2059			USDA-ARS-USMARC-1907	SAMN02716878	GCA_001623775.1|human|2009-10	
GCA_002300275.2	human	2010	blood		Homo sapiens	PP_BR063			PP_BR063	SAMN07444512	GCA_002300275.2|human|2010	
GCA_002300245.2	human	2010	feces		Homo sapiens	PP_BR062			PP_BR062	SAMN07444253	GCA_002300245.2|human|2010	
GCA_002300295.2	human	2010	feces		Homo sapiens	PP_BR076			PP_BR076	SAMN07444515	GCA_002300295.2|human|2010	
GCA_002090995.1	human	2010	stool		Homo sapiens	R8_6089_R1		SRS1245600	HUM_TYPH_NY_10_R8_6089_R1	SAMN04394838	GCA_002090995.1|human|2010	
GCA_002300255.2	human	2011	blood		Homo sapiens	PP_BR057			PP_BR057	SAMN07443992	GCA_002300255.2|human|2011	
GCA_002300265.2	human	2011	blood		Homo sapiens	PP_BR060			PP_BR060	SAMN07444097	GCA_002300265.2|human|2011	
GCA_001293505.1	human	2011	blood-culture		Homo sapiens; female	33676			33676	SAMN03795193	GCA_001293505.1|human|2011	
GCA_002252465.2	human	2011	Rectal Swab		Homo sapiens	PP_BR045			PP_BR045	SAMN07432681	GCA_002252465.2|human|2011	
GCA_002091025.1	human	2011	stool		Homo sapiens	R8_8073_R1		SRS1245577	HUM_TYPH_NY_11_R8_8073_R1	SAMN04394822	GCA_002091025.1|human|2011	
GCA_000636135.1	human	2011-06	stool sample from patient with gastroenteritis		Homo sapiens	138736			 Salmonella enterica subsp. enterica serovar Typhimurium str. 138736	SAMN02692256	GCA_000636135.1|human|2011-06	
GCA_001623685.1	human	2011-07	urine		Human	USDA-ARS-USMARC-1910			USDA-ARS-USMARC-1910	SAMN02716880	GCA_001623685.1|human|2011-07	
GCA_002252405.2	human	2012	Abdominal abscess		Homo sapiens	PP_BR032			PP_BR032	SAMN07432234	GCA_002252405.2|human|2012	
GCA_002252365.2	human	2012	blood		Homo sapiens	PP_BR026			PP_BR026	SAMN07429440	GCA_002252365.2|human|2012	
GCA_002091235.1	human	2012	stool		Homo sapiens	R9_0437_R1		SRS1245585	HUM_TYPH_NY_12_R9_0437_R1	SAMN04394834	GCA_002091235.1|human|2012	
GCA_002252345.2	human	2012	Wound secretion		Homo sapiens	PP_BR027			PP_BR027	SAMN07431981	GCA_002252345.2|human|2012	
GCA_002252605.2	human	2012	Wound secretion		Homo sapiens	PP_BR031			PP_BR031	SAMN07431992	GCA_002252605.2|human|2012	
GCA_001729225.1	human	2013	blood culture		Homo sapiens	ST931R			13-931	SAMN05356919	GCA_001729225.1|human|2013	
GCA_002252355.2	human	2014	blood		Homo sapiens	PP_BR007			PP_BR007	SAMN07428911	GCA_002252355.2|human|2014	
GCA_002283795.1	human	2015	Stool		Homo sapiens	GMR-S-1257			GMR-S-1257	SAMN05792025	GCA_002283795.1|human|2015	
GCA_002283545.1	human	2015	Urine		Homo sapiens	GMR-S-1454			GMR-S-1454	SAMN05792026	GCA_002283545.1|human|2015	
GCA_001989635.1	human	2015-08-15	stool		Homo sapiens	81741			strain81741	SAMN06185755	GCA_001989635.1|human|2015-08-15	
GCA_002028525.1	human	2015-09	Stool		Homo sapiens	SSH006			SSH006	SAMN06241972	GCA_002028525.1|human|2015-09	
GCA_001559855.1	human	2015-11	derived from clinical isolate ATCC 14028		Homo sapiens	MHM112			Salmonella enterica serovar Typhimurium MHM112	SAMN04334594	GCA_001559855.1|human|2015-11	
GCA_002283535.1	human	2016	Stool		Homo sapiens	GMR-S-356.16			GMR-S-356.16	SAMN05792027	GCA_002283535.1|human|2016	
LOL16002	OliveRidley	2012-02-12	kidney	USA: Ocean Beach, CA	Turtle, OliveRidley Sea	LOL16002					LOL16002|OliveRidley|2012-02-12	
LOL16001	OliveRidley	2012-12-08	kidney	Costa Rica: Playa Puntarenas, Punta Arenas	Turtle, OliveRidley Sea	LOL16001					LOL16001|OliveRidley|2012-12-08	
337781	OliveRidley	2016-12-27	kidney	USA: Long Beach, WA	Turtle, OliveRidley Sea	337781					337781|OliveRidley|2016	
337782	OliveRidley	2016-12-07	kidney	USA: Clallam, WA	Turtle, OliveRidley Sea	337782					337782|OliveRidley|2016	
337781	OliveRidley	2016-12-27	kidney	USA: Long Beach, WA	Turtle, OliveRidley Sea	337781					337781|OliveRidley|2016-12-27	
337782	OliveRidley	2016-12-07	kidney	USA: Clallam, WA	Turtle, OliveRidley Sea	337782					337782|OliveRidley|2016-12-07	
25231-1	OliveRidley	2017-04-26	kidney	USA: HI	Turtle, OliveRidley Sea	25231-1					25231-1|OliveRidley|2017-04-26	
25234-1	OliveRidley	2017-04-26	kidney	USA: HI	Turtle, OliveRidley Sea	25234-1					25234-1|OliveRidley|2017-04-26	
21812-1	OliveRidley	2017-06-02	kidney	USA: HI	Turtle, OliveRidley Sea	21812-1					21812-1|OliveRidley|2017-06-02	
25339-1	OliveRidley	2017-06-02	kidney	USA: HI	Turtle, OliveRidley Sea	25339-1					25339-1|OliveRidley|2017-06-02	
25433-1	OliveRidley	2017-06-14	kidney	USA: HI	Turtle, OliveRidley Sea	25433-1					25433-1|OliveRidley|2017-06-14	
GCA_001758445.1	other	1990	derived from Salmonella enterica subsp. enterica serovar Typhimurium str. LT2			TT9097			ST_RIT_TT9097	SAMN05462047	GCA_001758445.1|other|1990	
GCA_001758525.1	other	1990	derived from Salmonella enterica subsp. enterica serovar Typhimurium str. LT2			TT6675			ST_RIT_TT6675	SAMN05462015	GCA_001758525.1|other|1990	
GCA_001922185.1	other	2010-01-26	Gabilan Creek water			RM10961			RM10961	SAMN04125698	GCA_001922185.1|water|2010-01-26	
GCA_002740635.1	other	2015	research laboratory			CFSAN070646				SAMN07795412	GCA_002740635.1|other|2015	
GCA_000252875.1	porcine				porcine	798			CP003386	SAMN02604223	GCA_000252875.1|porcine|	
GCA_002631135.1	porcine	1999	ground swine			SE389			SE389	SAMN07781965	GCA_002631135.1|porcine|1999	
GCA_000784215.1	porcine	2004	missing		pig	S7			S7	SAMN03031254	GCA_000784215.1|porcine|2004	
GCA_000784225.1	porcine	2004	missing		pig	S10			S10	SAMN03031272	GCA_000784225.1|porcine|2004	
GCA_000784235.1	porcine	2004	missing		pig	S23			S23	SAMN03031271	GCA_000784235.1|porcine|2004	
GCA_000784245.1	porcine	2004	missing		pig	S15			S15	SAMN03031217	GCA_000784245.1|porcine|2004	
GCA_000784295.1	porcine	2004	missing		pig	S42			S42	SAMN03031274	GCA_000784295.1|porcine|2004	
GCA_000784315.1	porcine	2004	missing		pig	S46			S46	SAMN03031275	GCA_000784315.1|porcine|2004	
GCA_001588365.1	porcine	2006	Swine			CFSAN033898			CFSAN033898	SAMN03941130	GCA_001588365.1|porcine|2006	
GCA_002270095.1	porcine	2013-04-01	pork carcass swab from slaughterhouse			STy13			STy13	SAMN07185697	GCA_002270095.1|porcine|2013-04-01	
GCA_002210025.1	porcine	2014-06-19	pooled feces		Sus domesticus	TW-Stm6			strain 6	SAMN06309456	GCA_002210025.1|porcine|2014-06-19	
GCA_002018325.1	porcine	2014-09-15	Swine carcass			CCRJ_26			CCRJ_26	SAMN06339792	GCA_002018325.1|porcine|2014-09-15	
GCA_002260995.1	porcine	2015	slaughterhouse		swine	STy015			STy015	SAMN07279560	GCA_002260995.1|porcine|2015	
GCA_002313125.1	porcine	2016	Instant pork			WW012			Salmonella enterica	SAMN07267217	GCA_002313125.1|porcine|2016	
17819-1	turtle	2004-04-07	intestine	USA: HI	Turtle, Green Sea	17819-1					17819-1|turtle|2004-04-07	
26172-1	turtle	2015-02-25	colon	USA: MD	Terrapin, Diamondback	26172-1					26172-1|turtle|2015-02-25	
26639-1	turtle	2015-07-23	intestine	USA: PA	Turtle, Eastern Box	26639-1					26639-1|turtle|2015-07-23	
GCA_000170255.1	unreported		missing			CVM23701			ABAO	SAMN02415273	GCA_000170255.1|unreported|	
GCA_000187785.2	unreported		missing			TN061786			AERV	SAMN02415291	GCA_000187785.2|unreported|	
GCA_000715155.2	unreported					VNP20009			VNP20009	SAMN02798502	GCA_000715155.2|unreported|	
GCA_000006945.2	unreported					LT2; SGSC 1412; ATCC 700720			AE006468	SAMN02604315	GCA_000006945.2|unreported|	
GCA_000022165.1	unreported					14028S			CP001363	SAMN02604137	GCA_000022165.1|unreported|	
GCA_000188735.1	unreported					ST4/74			CP002487	SAMN02602988	GCA_000188735.1|unreported|	
GCA_000210855.2	unreported					SL1344		ERS610317		SAMEA3138382	GCA_000210855.2|unreported|	
GCA_000213635.1	unreported					UK-1			CP002614	SAMN02602986	GCA_000213635.1|unreported|	
GCA_000380325.1	unreported					U288			CP003836	SAMN02604233	GCA_000380325.1|unreported|	
GCA_000493535.2	unreported					DT2		ERS379674		SAMEA2272227	GCA_000493535.2|unreported|	
GCA_000493675.1	unreported					DT104		ERS379923		SAMEA2272504	GCA_000493675.1|unreported|	
GCA_900184385.1	unreported							ERS1751262		SAMEA104087369	GCA_900184385.1|unreported|	
GCA_000743055.1	unreported	1911	not isolated			ATCC 13311			STYmu11	SAMN02943517	GCA_000743055.1|unreported|1911	
GCA_001884505.1	unreported	1981	Laboratory		missing	SL7207			SL7207	SAMN05949357	GCA_001884505.1|unreported|1981	
GCA_001594615.1	unreported	1999	Final product			CFSAN033897			CFSAN033897	SAMN03941129	GCA_001594615.1|unreported|1999	
GCA_002156155.1	unreported	2005	missing			NCIMB 1024			139203.1	SAMN06368782	GCA_002156155.1|unreported|2005	
GCA_000312845.2	unreported	2005				STm8		SRS455307	STm8	SAMN02225278	GCA_000312845.2|unreported|2005	
GCA_000312865.2	unreported	2005				STm3		SRS455304	STm3	SAMN02225274	GCA_000312865.2|unreported|2005	
GCA_000314915.2	unreported	2005				STm2		SRS455303	STm2	SAMN02225273	GCA_000314915.2|unreported|2005	
GCA_000312885.2	unreported	2007				STm4		SRS455305	STm4	SAMN02225275	GCA_000312885.2|unreported|2007	
GCA_000941015.2	unreported	2007-05				USDA-ARS-USMARC-1899			CP007235	SAMN02712198	GCA_000941015.2|unreported|2007-05	
GCA_000312745.2	unreported	2008				STm6		SRS455306	STm6	SAMN02225277	GCA_000312745.2|unreported|2008	
GCA_000973645.1	unreported	2011-02-27				CDC 2011K-0870			CP007523	SAMN02712200	GCA_000973645.1|unreported|2011-02-27	
GCA_001614175.1	unreported	2012	Feed raw material			2012CEB432SAL			2012CEB432SAL	SAMN04110134	GCA_001614175.1|unreported|2012	
GCA_001187375.1	unreported	2012-06-04	food sample			Sal368			Salmonella Sal368	SAMN03776158	GCA_001187375.1|unreported|2012-06-04	
GCA_002193525.1	unreported	2014	missing			LT18			Salmonella enterica subsp. enterica serovar Typhimurium LT18	SAMN06706231	GCA_002193525.1|unreported|2014	
GCA_002193535.1	unreported	2014	missing			LT20			Salmonella enterica subsp. enterica serovar Typhimurium LT20	SAMN06706254	GCA_002193535.1|unreported|2014	
GCA_002193545.1	unreported	2014	missing			LT1			Salmonella enterica subsp. enterica serovar Typhimurium LT1 	SAMN06706048	GCA_002193545.1|unreported|2014	
GCA_002193595.1	unreported	2014	missing			LT22			Salmonella enterica subsp. enterica serovar Typhimurium LT22	SAMN06706256	GCA_002193595.1|unreported|2014	
GCA_002193605.1	unreported	2014	missing			LT21			Salmonella enterica subsp. enterica serovar Typhimurium LT21	SAMN06706255	GCA_002193605.1|unreported|2014	
GCA_002193615.1	unreported	2014	missing			LT19			Salmonella enterica subsp. enterica serovar Typhimurium LT19 WGS Apr-2017	SAMN06706253	GCA_002193615.1|unreported|2014	
GCA_000283735.1	unreported					T000240	DRR000467	DRS000257		SAMD00000683	GCA_000283735.1|unreported|	DRR000467|unreported|
GCA_000828595.1	unreported					L-3553	DRR000944	DRS000623		SAMD00002684	GCA_000828595.1|unreported|	DRR000944|unreported|
GCA_000614485.1	unreported					JCM 1652	DRR003226	DRS002662		SAMD00009942	GCA_000614485.1|unreported|	DRR003226|unreported|
GCA_001222205.1	avian	2000			poultry	V12	ERR026016	ERS011618		SAMEA773504	GCA_001222205.1|avian|2000	ERR026016|avian|2000
GCA_001566115.1	bovine	1991			bovine	V21	ERR026017	ERS011627		SAMEA773548	GCA_001566115.1|bovine|1991	ERR026017|bovine|1991
GCA_001218605.1	porcine	1994			porcine	V22	ERR026018	ERS011628		SAMEA773543	GCA_001218605.1|porcine|1994	ERR026018|porcine|1994
GCA_001217605.1	bovine	1993			bovine	V25	ERR026019	ERS011629		SAMEA773542	GCA_001217605.1|bovine|1993	ERR026019|bovine|1993
GCA_001566055.1	bovine	1994			bovine	V13	ERR026020	ERS011619		SAMEA773505	GCA_001566055.1|bovine|1994	ERR026020|bovine|1994
GCA_001215885.1	avian	1996			poultry	V15	ERR026022	ERS011621		SAMEA773546	GCA_001215885.1|avian|1996	ERR026022|avian|1996
GCA_001326275.1	bovine	2003			bovine	V16	ERR026023	ERS011622		SAMEA773545	GCA_001326275.1|bovine|2003	ERR026023|bovine|2003
GCA_001221725.1	bovine	1995			bovine	V17	ERR026024	ERS011623		SAMEA773544	GCA_001221725.1|bovine|1995	ERR026024|bovine|1995
GCA_001222945.1	ovine	1995			ovine	V24	ERR026025	ERS011624		SAMEA773551	GCA_001222945.1|ovine|1995	ERR026025|ovine|1995
